lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
33.5625,-7.625,2026-09-14,32.0,23.6,0.0,0,10.3,29.5,2
33.5625,-7.625,2026-09-15,28.3,21.8,0.0,0,11.6,32.8,45
33.5625,-7.625,2026-09-16,25.6,20.9,0.0,0,14.6,38.2,2
33.5625,-7.625,2026-09-17,25.6,19.7,0.0,2,12.5,34.2,3
33.5625,-7.625,2026-09-18,25.4,18.2,0.0,3,14.8,38.5,2
33.5625,-7.625,2026-09-19,28.6,19.8,0.0,2,13.1,34.9,45
33.5625,-7.625,2026-09-20,31.7,21.1,0.0,0,13.3,35.3,45
35.75,-5.8125,2026-09-14,29.7,22.5,0.0,0,25.4,60.1,1
35.75,-5.8125,2026-09-15,30.4,21.1,0.0,0,16.9,38.5,1
35.75,-5.8125,2026-09-16,26.9,18.2,0.0,0,21.3,48.6,3
35.75,-5.8125,2026-09-17,26.2,18.8,0.0,0,15.0,34.9,3
35.75,-5.8125,2026-09-18,28.2,18.7,0.0,0,21.4,49.3,3
35.75,-5.8125,2026-09-19,27.3,21.7,0.0,0,34.2,64.8,3
35.75,-5.8125,2026-09-20,26.9,22.9,0.0,3,35.1,65.5,3
34.0625,-5.0,2026-09-14,38.3,23.5,0.0,0,11.0,29.5,2
34.0625,-5.0,2026-09-15,35.1,23.7,0.0,0,15.5,38.9,3
34.0625,-5.0,2026-09-16,31.3,20.5,0.0,0,16.8,40.3,1
34.0625,-5.0,2026-09-17,27.7,18.7,0.0,3,12.2,33.5,3
34.0625,-5.0,2026-09-18,32.0,18.0,0.0,13,9.7,27.0,3
34.0625,-5.0,2026-09-19,37.4,21.2,0.0,5,9.8,26.7,3
34.0625,-5.0,2026-09-20,38.9,23.5,0.0,5,17.2,41.0,2
31.625,-8.0,2026-09-14,40.0,23.2,0.0,5,12.1,40.0,3
31.625,-8.0,2026-09-15,37.8,24.2,0.0,5,14.8,38.9,3
31.625,-8.0,2026-09-16,34.6,20.3,0.0,0,13.3,35.6,0
31.625,-8.0,2026-09-17,30.3,18.3,0.0,0,8.8,26.3,1
31.625,-8.0,2026-09-18,31.7,18.2,0.0,15,7.9,25.2,1
31.625,-8.0,2026-09-19,35.7,19.6,0.3,17,12.9,23.0,3
31.625,-8.0,2026-09-20,37.9,20.3,0.0,18,11.3,23.0,2
34.0,-6.8125,2026-09-14,33.6,23.5,0.0,0,11.1,29.5,0
34.0,-6.8125,2026-09-15,27.7,21.4,0.0,0,12.8,33.8,45
34.0,-6.8125,2026-09-16,25.8,20.8,0.0,0,15.5,39.2,2
34.0,-6.8125,2026-09-17,25.9,18.8,0.0,0,12.0,32.0,3
34.0,-6.8125,2026-09-18,26.2,17.4,0.0,0,15.3,38.2,2
34.0,-6.8125,2026-09-19,27.4,17.6,0.0,3,12.3,30.6,45
34.0,-6.8125,2026-09-20,30.8,21.3,0.0,3,13.7,30.2,1
33.875,-5.5625,2026-09-14,37.6,23.1,0.0,0,16.6,41.8,2
33.875,-5.5625,2026-09-15,34.2,21.1,0.0,0,16.1,41.0,3
33.875,-5.5625,2026-09-16,30.3,18.9,0.0,0,16.8,42.1,1
33.875,-5.5625,2026-09-17,26.3,17.4,0.0,3,12.8,33.8,3
