city,lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
Casablanca,33.5992,-7.62,2026-09-17,19.7,19.7,0.0,0,12.8,36.0,3
Casablanca,33.5992,-7.62,2026-09-18,18.4,18.4,0.0,0,12.0,32.8,3
Casablanca,33.5992,-7.62,2026-09-19,19.4,19.4,0.0,0,11.9,31.7,45
Casablanca,33.5992,-7.62,2026-09-20,21.1,21.1,0.0,0,10.2,29.9,45
Casablanca,33.5992,-7.62,2026-09-21,21.1,21.1,0.0,0,10.8,31.3,45
Casablanca,33.5992,-7.62,2026-09-22,20.9,20.9,0.0,0,11.4,29.9,45
Casablanca,33.5992,-7.62,2026-09-23,20.9,20.9,0.0,0,12.3,32.4,45
Tangier,35.7767,-5.8039,2026-09-17,17.6,17.6,0.0,0,10.6,25.6,3
Tangier,35.7767,-5.8039,2026-09-18,18.5,18.5,0.0,0,19.2,45.7,3
Tangier,35.7767,-5.8039,2026-09-19,22.7,22.7,0.0,0,29.7,71.6,2
Tangier,35.7767,-5.8039,2026-09-20,24.1,24.1,0.0,0,30.6,74.9,2
Tangier,35.7767,-5.8039,2026-09-21,23.3,23.3,0.0,0,27.7,66.2,2
Tangier,35.7767,-5.8039,2026-09-22,22.1,22.1,0.0,0,32.8,60.8,1
Tangier,35.7767,-5.8039,2026-09-23,22.3,22.3,0.0,0,29.3,54.7,1
Fès,34.0433,-5.0033,2026-09-17,18.0,18.0,0.0,0,12.2,32.4,3
Fès,34.0433,-5.0033,2026-09-18,17.8,17.8,0.0,0,10.0,27.7,2
Fès,34.0433,-5.0033,2026-09-19,20.9,20.9,0.0,0,17.8,45.4,2
Fès,34.0433,-5.0033,2026-09-20,22.7,22.7,0.0,0,14.8,38.9,2
Fès,34.0433,-5.0033,2026-09-21,22.9,22.9,0.0,3,14.5,36.7,2
Fès,34.0433,-5.0033,2026-09-22,21.7,21.7,0.0,0,11.3,28.8,1
Fès,34.0433,-5.0033,2026-09-23,22.0,22.0,0.0,0,12.3,30.2,1
Marrakech,31.6295,-7.9811,2026-09-17,18.3,18.3,0.0,0,10.6,31.0,2
Marrakech,31.6295,-7.9811,2026-09-18,18.3,18.3,0.0,0,7.6,23.0,1
Marrakech,31.6295,-7.9811,2026-09-19,20.6,20.6,0.0,5,9.1,25.6,3
Marrakech,31.6295,-7.9811,2026-09-20,22.8,22.8,1.5,25,10.4,30.6,80
Marrakech,31.6295,-7.9811,2026-09-21,23.3,23.3,0.0,13,12.4,33.8,3
Marrakech,31.6295,-7.9811,2026-09-22,21.7,21.7,0.0,6,14.0,25.2,1
Marrakech,31.6295,-7.9811,2026-09-23,20.5,20.5,0.0,3,13.3,23.4,2
Sale,34.05,-6.8167,2026-09-17,18.6,18.6,0.0,0,11.8,31.7,3
Sale,34.05,-6.8167,2026-09-18,17.1,17.1,0.0,0,13.2,33.8,45
Sale,34.05,-6.8167,2026-09-19,17.2,17.2,0.0,0,12.2,32.4,45
Sale,34.05,-6.8167,2026-09-20,20.7,20.7,0.0,0,10.3,27.7,2
Sale,34.05,-6.8167,2026-09-21,21.3,21.3,0.0,0,11.5,30.6,1
Sale,34.05,-6.8167,2026-09-22,20.6,20.6,0.0,0,11.4,26.6,45
Sale,34.05,-6.8167,2026-09-23,20.1,20.1,0.0,0,11.9,28.4,45
Meknès,33.8833,-5.55,2026-09-17,15.4,15.4,0.0,0,12.9,34.6,45
Meknès,33.8833,-5.55,2026-09-18,15.9,15.9,0.0,0,12.9,36.0,3
Meknès,33.8833,-5.55,2026-09-19,18.9,18.9,0.0,3,11.3,31.7,2
Meknès,33.8833,-5.55,2026-09-20,22.1,22.1,0.0,0,13.0,35.6,2
