city,lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code,temperature_category
Casablanca,33.5625,-7.625,2026-09-14,23.6,23.6,0.0,0,10.3,29.5,2,Normale
Casablanca,33.5625,-7.625,2026-09-15,21.8,21.8,0.0,0,11.6,32.8,45,Normale
Casablanca,33.5625,-7.625,2026-09-16,20.9,20.9,0.0,0,14.6,38.2,2,Normale
Casablanca,33.5625,-7.625,2026-09-17,19.7,19.7,0.0,2,12.5,34.2,3,Fraîche
Casablanca,33.5625,-7.625,2026-09-18,18.2,18.2,0.0,3,14.8,38.5,2,Fraîche
Casablanca,33.5625,-7.625,2026-09-19,19.8,19.8,0.0,2,13.1,34.9,45,Fraîche
Casablanca,33.5625,-7.625,2026-09-20,21.1,21.1,0.0,0,13.3,35.3,45,Normale
Tangier,33.5625,-7.625,2026-09-14,23.6,23.6,0.0,0,10.3,29.5,2,Normale
Tangier,33.5625,-7.625,2026-09-15,21.8,21.8,0.0,0,11.6,32.8,45,Normale
Tangier,33.5625,-7.625,2026-09-16,20.9,20.9,0.0,0,14.6,38.2,2,Normale
Tangier,33.5625,-7.625,2026-09-17,19.7,19.7,0.0,2,12.5,34.2,3,Fraîche
Tangier,33.5625,-7.625,2026-09-18,18.2,18.2,0.0,3,14.8,38.5,2,Fraîche
Tangier,33.5625,-7.625,2026-09-19,19.8,19.8,0.0,2,13.1,34.9,45,Fraîche
Tangier,33.5625,-7.625,2026-09-20,21.1,21.1,0.0,0,13.3,35.3,45,Normale
Fès,33.5625,-7.625,2026-09-14,23.6,23.6,0.0,0,10.3,29.5,2,Normale
Fès,33.5625,-7.625,2026-09-15,21.8,21.8,0.0,0,11.6,32.8,45,Normale
Fès,33.5625,-7.625,2026-09-16,20.9,20.9,0.0,0,14.6,38.2,2,Normale
Fès,33.5625,-7.625,2026-09-17,19.7,19.7,0.0,2,12.5,34.2,3,Fraîche
Fès,33.5625,-7.625,2026-09-18,18.2,18.2,0.0,3,14.8,38.5,2,Fraîche
Fès,33.5625,-7.625,2026-09-19,19.8,19.8,0.0,2,13.1,34.9,45,Fraîche
Fès,33.5625,-7.625,2026-09-20,21.1,21.1,0.0,0,13.3,35.3,45,Normale
Marrakech,33.5625,-7.625,2026-09-14,23.6,23.6,0.0,0,10.3,29.5,2,Normale
Marrakech,33.5625,-7.625,2026-09-15,21.8,21.8,0.0,0,11.6,32.8,45,Normale
Marrakech,33.5625,-7.625,2026-09-16,20.9,20.9,0.0,0,14.6,38.2,2,Normale
Marrakech,33.5625,-7.625,2026-09-17,19.7,19.7,0.0,2,12.5,34.2,3,Fraîche
Marrakech,33.5625,-7.625,2026-09-18,18.2,18.2,0.0,3,14.8,38.5,2,Fraîche
Marrakech,33.5625,-7.625,2026-09-19,19.8,19.8,0.0,2,13.1,34.9,45,Fraîche
Marrakech,33.5625,-7.625,2026-09-20,21.1,21.1,0.0,0,13.3,35.3,45,Normale
Sale,33.5625,-7.625,2026-09-14,23.6,23.6,0.0,0,10.3,29.5,2,Normale
Sale,33.5625,-7.625,2026-09-15,21.8,21.8,0.0,0,11.6,32.8,45,Normale
Sale,33.5625,-7.625,2026-09-16,20.9,20.9,0.0,0,14.6,38.2,2,Normale
Sale,33.5625,-7.625,2026-09-17,19.7,19.7,0.0,2,12.5,34.2,3,Fraîche
Sale,33.5625,-7.625,2026-09-18,18.2,18.2,0.0,3,14.8,38.5,2,Fraîche
Sale,33.5625,-7.625,2026-09-19,19.8,19.8,0.0,2,13.1,34.9,45,Fraîche
Sale,33.5625,-7.625,2026-09-20,21.1,21.1,0.0,0,13.3,35.3,45,Normale
Meknès,33.5625,-7.625,2026-09-14,23.6,23.6,0.0,0,10.3,29.5,2,Normale
Meknès,33.5625,-7.625,2026-09-15,21.8,21.8,0.0,0,11.6,32.8,45,Normale
Meknès,33.5625,-7.625,2026-09-16,20.9,20.9,0.0,0,14.6,38.2,2,Normale
Meknès,33.5625,-7.625,2026-09-17,19.7,19.7,0.0,2,12.5,34.2,3,Fraîche
Meknès,33.5625,-7.625,2026-09-18,18.2,18.2,0.0,3,14.8,38.5,2,Fraîche
Meknès,33.5625,-7.625,2026-09-19,19.8,19.8,0.0,2,13.1,34.9,45,Fraîche
Meknès,33.5625,-7.625,2026-09-20,21.1,21.1,0.0,0,13.3,35.3,45,Normale
Rabat,33.5625,-7.625,2026-09-14,23.6,23.6,0.0,0,10.3,29.5,2,Normale
Rabat,33.5625,-7.625,2026-09-15,21.8,21.8,0.0,0,11.6,32.8,45,Normale
Rabat,33.5625,-7.625,2026-09-16,20.9,20.9,0.0,0,14.6,38.2,2,Normale
Rabat,33.5625,-7.625,2026-09-17,19.7,19.7,0.0,2,12.5,34.2,3,Fraîche
Rabat,33.5625,-7.625,2026-09-18,18.2,18.2,0.0,3,14.8,38.5,2,Fraîche
Rabat,33.5625,-7.625,2026-09-19,19.8,19.8,0.0,2,13.1,34.9,45,Fraîche
Rabat,33.5625,-7.625,2026-09-20,21.1,21.1,0.0,0,13.3,35.3,45,Normale
Agadir,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1,Normale
Agadir,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1,Normale
Agadir,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3,Fraîche
Agadir,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3,Fraîche
Agadir,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3,Fraîche
Agadir,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3,Normale
Agadir,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3,Normale
Kenitra,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1,Normale
Kenitra,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1,Normale
Kenitra,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3,Fraîche
Kenitra,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3,Fraîche
Kenitra,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3,Fraîche
Kenitra,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3,Normale
Kenitra,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3,Normale
Oujda-Angad,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1,Normale
