city,lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
Casablanca,33.5625,-7.625,2026-09-14,23.6,23.6,0.0,0,10.3,29.5,2
Casablanca,33.5625,-7.625,2026-09-15,21.8,21.8,0.0,0,11.6,32.8,45
Casablanca,33.5625,-7.625,2026-09-16,20.9,20.9,0.0,0,14.6,38.2,2
Casablanca,33.5625,-7.625,2026-09-17,19.7,19.7,0.0,2,12.5,34.2,3
Casablanca,33.5625,-7.625,2026-09-18,18.2,18.2,0.0,3,14.8,38.5,2
Casablanca,33.5625,-7.625,2026-09-19,19.8,19.8,0.0,2,13.1,34.9,45
Casablanca,33.5625,-7.625,2026-09-20,21.1,21.1,0.0,0,13.3,35.3,45
Tangier,33.5625,-7.625,2026-09-14,23.6,23.6,0.0,0,10.3,29.5,2
Tangier,33.5625,-7.625,2026-09-15,21.8,21.8,0.0,0,11.6,32.8,45
Tangier,33.5625,-7.625,2026-09-16,20.9,20.9,0.0,0,14.6,38.2,2
Tangier,33.5625,-7.625,2026-09-17,19.7,19.7,0.0,2,12.5,34.2,3
Tangier,33.5625,-7.625,2026-09-18,18.2,18.2,0.0,3,14.8,38.5,2
Tangier,33.5625,-7.625,2026-09-19,19.8,19.8,0.0,2,13.1,34.9,45
Tangier,33.5625,-7.625,2026-09-20,21.1,21.1,0.0,0,13.3,35.3,45
Fès,33.5625,-7.625,2026-09-14,23.6,23.6,0.0,0,10.3,29.5,2
Fès,33.5625,-7.625,2026-09-15,21.8,21.8,0.0,0,11.6,32.8,45
Fès,33.5625,-7.625,2026-09-16,20.9,20.9,0.0,0,14.6,38.2,2
Fès,33.5625,-7.625,2026-09-17,19.7,19.7,0.0,2,12.5,34.2,3
Fès,33.5625,-7.625,2026-09-18,18.2,18.2,0.0,3,14.8,38.5,2
Fès,33.5625,-7.625,2026-09-19,19.8,19.8,0.0,2,13.1,34.9,45
Fès,33.5625,-7.625,2026-09-20,21.1,21.1,0.0,0,13.3,35.3,45
Marrakech,33.5625,-7.625,2026-09-14,23.6,23.6,0.0,0,10.3,29.5,2
Marrakech,33.5625,-7.625,2026-09-15,21.8,21.8,0.0,0,11.6,32.8,45
Marrakech,33.5625,-7.625,2026-09-16,20.9,20.9,0.0,0,14.6,38.2,2
Marrakech,33.5625,-7.625,2026-09-17,19.7,19.7,0.0,2,12.5,34.2,3
Marrakech,33.5625,-7.625,2026-09-18,18.2,18.2,0.0,3,14.8,38.5,2
Marrakech,33.5625,-7.625,2026-09-19,19.8,19.8,0.0,2,13.1,34.9,45
Marrakech,33.5625,-7.625,2026-09-20,21.1,21.1,0.0,0,13.3,35.3,45
Sale,33.5625,-7.625,2026-09-14,23.6,23.6,0.0,0,10.3,29.5,2
Sale,33.5625,-7.625,2026-09-15,21.8,21.8,0.0,0,11.6,32.8,45
Sale,33.5625,-7.625,2026-09-16,20.9,20.9,0.0,0,14.6,38.2,2
Sale,33.5625,-7.625,2026-09-17,19.7,19.7,0.0,2,12.5,34.2,3
Sale,33.5625,-7.625,2026-09-18,18.2,18.2,0.0,3,14.8,38.5,2
Sale,33.5625,-7.625,2026-09-19,19.8,19.8,0.0,2,13.1,34.9,45
Sale,33.5625,-7.625,2026-09-20,21.1,21.1,0.0,0,13.3,35.3,45
Meknès,33.5625,-7.625,2026-09-14,23.6,23.6,0.0,0,10.3,29.5,2
Meknès,33.5625,-7.625,2026-09-15,21.8,21.8,0.0,0,11.6,32.8,45
Meknès,33.5625,-7.625,2026-09-16,20.9,20.9,0.0,0,14.6,38.2,2
Meknès,33.5625,-7.625,2026-09-17,19.7,19.7,0.0,2,12.5,34.2,3
Meknès,33.5625,-7.625,2026-09-18,18.2,18.2,0.0,3,14.8,38.5,2
Meknès,33.5625,-7.625,2026-09-19,19.8,19.8,0.0,2,13.1,34.9,45
Meknès,33.5625,-7.625,2026-09-20,21.1,21.1,0.0,0,13.3,35.3,45
Rabat,33.5625,-7.625,2026-09-14,23.6,23.6,0.0,0,10.3,29.5,2
Rabat,33.5625,-7.625,2026-09-15,21.8,21.8,0.0,0,11.6,32.8,45
Rabat,33.5625,-7.625,2026-09-16,20.9,20.9,0.0,0,14.6,38.2,2
Rabat,33.5625,-7.625,2026-09-17,19.7,19.7,0.0,2,12.5,34.2,3
Rabat,33.5625,-7.625,2026-09-18,18.2,18.2,0.0,3,14.8,38.5,2
Rabat,33.5625,-7.625,2026-09-19,19.8,19.8,0.0,2,13.1,34.9,45
Rabat,33.5625,-7.625,2026-09-20,21.1,21.1,0.0,0,13.3,35.3,45
Agadir,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1
Agadir,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1
Agadir,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3
Agadir,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3
Agadir,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3
Agadir,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3
Agadir,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3
Kenitra,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1
Kenitra,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1
Kenitra,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3
Kenitra,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3
Kenitra,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3
Kenitra,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3
Kenitra,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3
Oujda-Angad,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1
Oujda-Angad,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1
Oujda-Angad,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3
Oujda-Angad,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3
Oujda-Angad,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3
Oujda-Angad,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3
Oujda-Angad,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3
Tétouan,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1
Tétouan,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1
Tétouan,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3
Tétouan,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3
Tétouan,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3
Tétouan,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3
Tétouan,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3
Safi,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1
Safi,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1
Safi,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3
Safi,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3
Safi,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3
Safi,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3
Safi,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3
Taourirt,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1
Taourirt,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1
Taourirt,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3
Taourirt,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3
Taourirt,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3
Taourirt,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3
